[-6.700999955660411e6,-1081.7999965513627]
[-6.700936994187961e6,-40779.79900621684]
[-6.700754620863814e6,-80477.33318021524]
[-6.700452845064721e6,-120173.80102291406]
[-6.700031676050593e6,-159869.19197338406]
[-6.69949112300808e6,-199563.49579520943]
[-6.698831195044018e6,-239256.70267077748]
[-6.698051901176999e6,-278948.80330431904]
[-6.697153250327126e6,-318639.78902281553]
[-6.696135251303911e6,-358329.65187818516]
[-6.694997912792394e6,-398018.3847474718]
[-6.693741243337498e6,-437705.98143159604]
[-6.692365251326511e6,-477392.4367566545]
[-6.690869944969916e6,-517077.74667061266]
[-6.689255332280452e6,-556761.9083407208]
[-6.68752142105049e6,-596444.9202492123]
[-6.685668218827656e6,-636126.7822894546]
[-6.683695732888869e6,-675807.495859252]
[-6.681603970212734e6,-715487.063953429]
[-6.679392937450361e6,-755165.491254597]
[-6.677062640894579e6,-794842.7842234416]
[-6.6746130864476105e6,-834518.9511874377]
[-6.672044279587335e6,-874194.0024268253]
[-6.669356225331962e6,-913867.9502609487]
[-6.666548928203525e6,-953540.8091294167]
[-6.663622392189591e6,-993212.5956773836]
[-6.660576620704062e6,-1.0328833288327821e6]
[-6.657411616546405e6,-1.0725530298856446e6]
[-6.654127381859681e6,-1.1122217225646062e6]
[-6.650723918087381e6,-1.1518894331112849e6]
[-6.647201225929141e6,-1.1915561903520161e6]
[-6.643559305295153e6,-1.2312220257697061e6]
[-6.639798155259684e6,-1.2708869735713175e6]
[-6.635917774013435e6,-1.310551070754783e6]
[-6.631918158814987e6,-1.3502143571728542e6]
[-6.627799305941151e6,-1.3898768755963715e6]
[-6.62356121063666e6,-1.429538671772929e6]
[-6.619203867062722e6,-1.4691997944861802e6]
[-6.614727268244991e6,-1.508860295610718e6]
[-6.610131406020633e6,-1.5485202301661547e6]
[-6.605416270984802e6,-1.5881796563678067e6]
[-6.600581852436273e6,-1.6278386356767316e6]
[-6.595628138322601e6,-1.6674972328461485e6]
[-6.590555115184579e6,-1.7071555159667095e6]
[-6.585362768100367e6,-1.7468135565079325e6]
[-6.580051080628921e6,-1.7864714293590838e6]
[-6.574620034752892e6,-1.8261292128684185e6]
[-6.56906961082155e6,-1.865786988877064e6]
[-6.5633997874929495e6,-1.9054448427537165e6]
[-6.557610541675823e6,-1.9451028634267824e6]
[-6.551701848471479e6,-1.984761143412422e6]
[-6.545673681115162e6,-2.0244197788425975e6]
[-6.53952601091729e6,-2.064078869490461e6]
[-6.533258807204821e6,-2.103738518791885e6]
[-6.526872037262054e6,-2.1433988338678004e6]
[-6.520365666271663e6,-2.183059925542507e6]
[-6.513739657255677e6,-2.222721908360116e6]
[-6.506993971016229e6,-2.262384900600323e6]
[-6.500128566076716e6,-2.302049024290011e6]
[-6.493143398622639e6,-2.3417144052151907e6]
[-6.4860384224427715e6,-2.3813811729296353e6]
[-6.478813588870488e6,-2.4210494607616332e6]
[-6.471468846725077e6,-2.4607194058197816e6]
[-6.464004142253347e6,-2.5003911489964784e6]
[-6.456419419071514e6,-2.540064834969315e6]
[-6.44871461810718e6,-2.5797406122016106e6]
[-6.440889677541719e6,-2.6194186329405056e6]
[-6.432944532752953e6,-2.659099053213528e6]
[-6.424879116258065e6,-2.6987820328239817e6]
[-6.416693357656831e6,-2.7384677353448886e6]
[-6.408387183575383e6,-2.778156328110594e6]
[-6.399960517610269e6,-2.817847982207395e6]
[-6.391413280272781e6,-2.857542872463352e6]
[-6.382745388934011e6,-2.897241177435314e6]
[-6.373956757769921e6,-2.936943079396572e6]
[-6.365047297707331e6,-2.9766487643211023e6]
[-6.356016916369979e6,-3.0163584218683704e6]
[-6.346865518025291e6,-3.0560722453659023e6]
[-6.337593003531636e6,-3.0957904317907835e6]
[-6.328199270285885e6,-3.1355131817508917e6]
[-6.318684212171713e6,-3.175240699464098e6]
[-6.30904771950839e6,-3.2149731927366173e6]
[-6.299289678999884e6,-3.254710872941305e6]
[-6.289409973684715e6,-3.2944539549941164e6]
[-6.2794084828862995e6,-3.33420265732993e6]
[-6.269285082163957e6,-3.373957201877091e6]
[-6.259039643264034e6,-3.413717814032873e6]
